User_id,first_seen,last_seen,total_events,is_converter,purchases,first_purchase,last_purchase,total_quantity,total_revenue,median_rate,days_active,events_per_day_active,has_purchased_ever,recency_days,frequency_purchases,events_before_first_purchase,days_to_first_purchase,events_in_7d_before_first_purchase,events_in_14d_before_first_purchase,events_in_30d_before_first_purchase,R_quartile,F_quartile,RF_segment
51677518852,2019-03-11 14:53:00,2019-03-11 14:58:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51687659448,2019-10-31 17:00:00,2019-10-31 17:44:00,5,0,,,,,,,0,5.0,0,,0.0,5,,,,,,1,
51692749291,2019-10-14 14:00:00,2019-10-14 14:30:00,6,1,1.0,2019-10-14 14:30:00,2019-10-14 14:30:00,1.0,2500.0,2500.0,0,6.0,1,69.0,1.0,5,0.0,5.0,5.0,5.0,3,1,31
51692946248,2019-03-11 14:59:00,2019-03-11 15:03:00,3,1,1.0,2019-03-11 15:03:00,2019-03-11 15:03:00,2.0,3000.0,1500.0,0,3.0,1,286.0,1.0,2,0.0,2.0,2.0,2.0,1,1,11
51701618886,2019-02-11 14:51:00,2019-02-11 14:59:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51714485793,2019-07-11 15:10:00,2019-07-11 15:49:00,5,1,1.0,2019-07-11 15:49:00,2019-07-11 15:49:00,1.0,1250.0,1250.0,0,5.0,1,164.0,1.0,4,0.0,4.0,4.0,4.0,2,1,21
51719048333,2019-08-23 17:09:00,2019-10-29 23:18:00,5,0,,,,,,,67,0.07462686567164178,0,,0.0,5,,,,,,1,
51720194122,2019-10-20 10:16:00,2019-10-20 10:16:00,1,0,,,,,,,0,1.0,0,,0.0,1,,,,,,1,
51720357111,2019-10-28 17:00:00,2019-10-28 17:16:00,5,1,1.0,2019-10-28 17:16:00,2019-10-28 17:16:00,4.0,2800.0,700.0,0,5.0,1,55.0,1.0,4,0.0,4.0,4.0,4.0,3,1,31
51723980162,2019-03-11 15:10:00,2019-03-11 15:13:00,3,1,1.0,2019-03-11 15:13:00,2019-03-11 15:13:00,1.0,8000.0,8000.0,0,3.0,1,286.0,1.0,2,0.0,2.0,2.0,2.0,1,1,11
