User_id,is_converter,has_purchased_ever,first_seen,last_seen,R_quartile,F_quartile,RF_segment
54453581827,0,0,2019-11-11 15:14:00,2019-11-11 15:49:00,,1,
54486301527,0,0,2019-11-11 17:04:00,2019-11-11 17:16:00,,1,
54500871579,0,0,2019-07-11 22:04:00,2019-07-11 22:43:00,,1,
54582586290,0,0,2019-12-11 13:06:00,2019-12-11 13:15:00,,1,
54615021891,0,0,2019-09-11 18:53:00,2019-09-11 19:08:00,,1,
54624656999,1,1,2019-12-11 11:32:00,2019-12-11 11:38:00,4,1,41
54654196217,0,0,2019-10-11 21:29:00,2019-10-11 21:39:00,,1,
54730988908,0,0,2019-09-11 19:13:00,2019-09-11 19:23:00,,1,
54882635771,0,0,2019-09-11 17:36:00,2019-09-11 17:46:00,,1,
54938485256,1,1,2019-09-11 22:22:00,2019-09-11 22:32:00,2,1,21
54993474901,0,0,2019-08-11 17:06:00,2019-08-11 17:16:00,,1,
55025507925,1,1,2019-11-06 21:00:00,2019-11-11 19:27:00,4,2,42
55062609110,0,0,2019-09-11 21:04:00,2019-09-11 21:09:00,,1,
55077041920,0,0,2019-09-11 21:33:00,2019-09-11 21:43:00,,1,
55162718788,1,1,2019-11-11 17:38:00,2019-11-11 17:43:00,4,1,41
55237981670,1,1,2019-10-11 17:27:00,2019-10-11 17:41:00,2,1,21
55343474855,1,1,2019-02-23 20:36:00,2019-09-11 17:31:00,2,2,22
55349718167,1,1,2019-07-19 13:00:00,2019-11-11 19:46:00,2,1,21
55387472465,0,0,2019-09-11 16:52:00,2019-09-11 17:16:00,,1,
55465583280,0,0,2019-12-11 10:49:00,2019-12-11 10:52:00,,1,
55477444723,1,1,2019-06-11 20:56:00,2019-06-11 21:36:00,1,1,11
55488853063,1,1,2019-03-17 11:23:00,2019-12-11 10:47:00,1,1,11
55538327311,1,1,2019-11-11 13:50:00,2019-11-11 14:01:00,4,1,41
55616110021,0,0,2019-11-11 15:52:00,2019-11-11 15:58:00,,1,
55660418761,1,1,2019-08-16 21:19:00,2019-11-11 22:53:00,2,1,21
55710086111,0,0,2019-08-11 20:43:00,2019-08-11 21:32:00,,1,
55747248896,0,0,2019-12-11 12:09:00,2019-12-11 12:18:00,,1,
55795626852,1,1,2019-11-11 18:23:00,2019-11-11 18:32:00,4,1,41
55817701891,1,1,2019-09-11 23:54:00,2019-11-30 21:10:00,4,1,41
55869541278,0,0,2019-11-11 13:41:00,2019-11-11 13:47:00,,1,
55896688295,0,0,2019-11-11 21:20:00,2019-11-11 21:29:00,,1,
56016671367,1,1,2019-09-11 15:54:00,2019-09-11 16:13:00,2,1,21
56083673821,0,0,2019-12-11 13:15:00,2019-12-11 13:21:00,,1,
56181373546,1,1,2019-10-11 23:06:00,2019-10-11 23:25:00,3,1,31
56286709029,0,0,2019-07-11 16:29:00,2019-07-11 17:08:00,,1,
56295462878,1,1,2019-05-20 17:33:00,2019-11-11 21:26:00,4,2,42
56348505101,1,1,2019-10-11 18:54:00,2019-10-11 19:08:00,3,1,31
56478374077,0,0,2019-05-11 20:29:00,2019-05-11 20:56:00,,1,
56567774661,0,0,2019-07-11 13:41:00,2019-07-11 14:01:00,,1,
56616688747,0,0,2019-10-11 18:10:00,2019-10-11 18:25:00,,1,
56649710141,0,0,2019-11-11 17:08:00,2019-11-11 18:55:00,,1,
56734081898,1,1,2019-07-11 17:18:00,2019-07-11 17:47:00,2,1,21
56802499312,0,0,2019-07-11 11:43:00,2019-07-11 12:03:00,,1,
56924254686,0,0,2019-11-11 19:05:00,2019-11-11 19:36:00,,1,
56928439873,0,0,2019-12-11 14:15:00,2019-12-11 14:29:00,,1,
56983984268,0,0,2019-09-11 22:56:00,2019-09-11 23:15:00,,1,
57094169981,0,0,2019-08-11 15:08:00,2019-08-11 15:37:00,,1,
57112276695,0,0,2019-07-11 12:13:00,2019-07-11 12:42:00,,1,
57121677041,1,1,2019-11-11 17:09:00,2019-11-11 17:15:00,4,1,41
57169113404,0,0,2019-08-11 14:38:00,2019-08-11 14:58:00,,1,
57181419152,1,1,2019-08-11 20:03:00,2019-08-11 20:33:00,2,1,21
57190679381,0,0,2019-06-11 18:39:00,2019-06-11 19:08:00,,1,
57253954514,1,1,2019-12-11 13:55:00,2019-12-11 14:03:00,4,1,41
57297515705,1,1,2019-06-11 16:31:00,2019-06-11 16:50:00,1,1,11
57305722252,0,0,2019-10-11 13:58:00,2019-10-11 14:13:00,,1,
57314161118,0,0,2019-01-10 14:00:00,2019-01-10 14:12:00,,1,
57326081828,1,1,2019-05-11 21:10:00,2019-05-11 22:18:00,1,1,11
57342441069,1,1,2019-11-11 14:04:00,2019-11-11 14:10:00,4,1,41
57354053843,0,0,2019-10-11 15:59:00,2019-10-11 16:14:00,,1,
57467662502,0,0,2019-10-11 19:13:00,2019-10-11 19:28:00,,1,
57500609913,1,1,2019-09-11 21:48:00,2019-09-11 22:17:00,2,1,21
57507062720,0,0,2019-10-11 20:07:00,2019-10-11 20:21:00,,1,
57510470450,0,0,2019-05-11 19:34:00,2019-05-11 20:15:00,,1,
57515591429,0,0,2019-10-11 16:53:00,2019-10-11 17:07:00,,1,
57574752442,1,1,2019-07-11 10:54:00,2019-07-11 11:33:00,2,1,21
57734683925,0,0,2019-06-11 18:19:00,2019-06-11 18:29:00,,1,
57767840151,1,1,2019-10-09 21:30:00,2019-11-15 20:23:00,4,2,42
57828063559,1,1,2019-12-11 10:30:00,2019-12-11 10:50:00,4,1,41
57841579837,0,0,2019-11-11 14:41:00,2019-11-11 14:55:00,,1,
57851680477,1,1,2019-12-11 12:21:00,2019-12-22 08:22:00,4,2,42
57915402788,1,1,2019-10-11 20:26:00,2019-10-11 20:50:00,3,1,31
57924356302,0,0,2019-11-11 17:39:00,2019-11-11 17:55:00,,1,
57977891632,0,0,2019-06-11 15:51:00,2019-06-11 16:21:00,,1,
58023540073,0,0,2019-12-11 10:55:00,2019-12-11 11:07:00,,1,
58041962869,0,0,2019-10-11 21:19:00,2019-10-11 21:24:00,,1,
